node_id,status,pano_id,pano_date,pano_lat,pano_lon,month,year,usable,osm_name,typology
n00044,OK,fEySYt3Q5Oy8Mj6UNNMPNQ,2026-04,40.74629362257849,-73.97479734994343,4,2026,True,2nd Avenue,avenue
n00045,OK,1z2kq5H5uVfde2zZu8C33A,2026-04,40.7461361107267,-73.97492029841811,4,2026,True,2nd Avenue,avenue
n00046,OK,SvlPDBFedME2goosvSimKA,2026-04,40.74596154365739,-73.97504100486753,4,2026,True,2nd Avenue,avenue
n00047,OK,VSnuL76akuo2j0bInfh5SA,2026-04,40.74580217388166,-73.9751524744263,4,2026,True,2nd Avenue,avenue
n00048,OK,If_0BlTUmx-0Q3Hhudx2_Q,2026-04,40.74563731075568,-73.97526295746506,4,2026,True,2nd Avenue,avenue
n00049,OK,COilykflfao--d0m9ZedHA,2026-04,40.74555881789599,-73.97531488088427,4,2026,True,2nd Avenue,avenue
n00050,OK,mm3YOyP84Cmi_jqsFF8otA,2026-04,40.74539234497294,-73.97544482388749,4,2026,True,2nd Avenue,avenue
n00051,OK,QBPvoGWNoTk0-DRP0LvcSQ,2026-04,40.74521588480113,-73.97557611196723,4,2026,True,2nd Avenue,avenue
n00052,OK,APy9rO2Xo6thve3FjH0gIA,2026-04,40.74505669936984,-73.97569367929049,4,2026,True,2nd Avenue,avenue
n00053,OK,nDxPB565qw8qXGsjS4xKVw,2026-04,40.74490315922615,-73.97580694202136,4,2026,True,2nd Avenue,avenue
n00054,OK,JRfca0prQB4nWzxEy4qpaA,2026-04,40.7456367475427,-73.97819252840051,4,2026,True,3rd Avenue,avenue
n00055,OK,6_7H4KCQWq3DszNdqDrYXg,2026-04,40.74579812484885,-73.97807657678077,4,2026,True,3rd Avenue,avenue
n00056,OK,yhrglYYmj1T2h-8CMAbqyw,2026-04,40.74596686357236,-73.97795354064685,4,2026,True,3rd Avenue,avenue
n00057,OK,OWlyDkfPWYzqYhtx8_GSXw,2026-04,40.74614020580961,-73.97782682769488,4,2026,True,3rd Avenue,avenue
n00058,OK,2nSY0leWyBXVB73k96I3rg,2026-04,40.74630589329841,-73.97770567461036,4,2026,True,3rd Avenue,avenue
n00059,OK,mE2axldbcj_r21JFutwDIA,2026-04,40.74647343823762,-73.97758380403607,4,2026,True,3rd Avenue,avenue
n00060,OK,jSbQro0Qcyqmn8v_1-J48Q,2026-04,40.74655098050566,-73.97752730771714,4,2026,True,3rd Avenue,avenue
n00061,OK,tkrp7HNl8Z9sTan-0tklyg,2026-04,40.74671383095578,-73.97740848603986,4,2026,True,3rd Avenue,avenue
n00062,OK,R2dnkktQ-xmwjd_iwwuDFg,2026-04,40.74687627929379,-73.97729002299643,4,2026,True,3rd Avenue,avenue
n00063,OK,yhc7dIFm5sN_a44yGen3jA,2026-04,40.74703907381765,-73.97717559533942,4,2026,True,3rd Avenue,avenue
n00064,OK,ItA7OVlHwQzBIMKRKSmVig,2026-04,40.74719301941688,-73.97706627919912,4,2026,True,3rd Avenue,avenue
n00065,OK,dEhrHGTmoYZQu1KrQWjRBg,2026-04,40.74736523015302,-73.97694225597209,4,2026,True,3rd Avenue,avenue
n00066,OK,KYIqrMKRck2Ex797ezX30Q,2026-04,40.74754115229575,-73.97681464558345,4,2026,True,3rd Avenue,avenue
n00067,OK,3dpr9Xaw3kYy7tr8z0PkcA,2026-04,40.74767603956982,-73.97671393823875,4,2026,True,3rd Avenue,avenue
n00068,OK,U5KkQUrcc97LG9G9Old-Gw,2026-04,40.74783590469634,-73.97659377090181,4,2026,True,3rd Avenue,avenue
n00069,OK,oYiGY4tDiLuH_cmZXoAC0A,2026-04,40.74800687870117,-73.97646849188928,4,2026,True,3rd Avenue,avenue
n00070,OK,t_GEQdBQ38PzGnIuHG0wRw,2026-04,40.7481700403952,-73.9763450063404,4,2026,True,3rd Avenue,avenue
n00071,OK,ShS0Pa2DCT7iNUNtWggmcw,2026-04,40.74833415100642,-73.97623192328092,4,2026,True,3rd Avenue,avenue
n00072,OK,NLSI5RoweDKUztQbCTPR0A,2026-04,40.74849329308727,-73.97611623951133,4,2026,True,3rd Avenue,avenue
n00073,OK,nt0S4QqRv7_CAPB-OehK1A,2026-04,40.74865085243061,-73.97600109373668,4,2026,True,3rd Avenue,avenue
n00074,OK,gNKAsEoPiqPU9stSsy5EyA,2026-04,40.74881243537212,-73.97588137434187,4,2026,True,3rd Avenue,avenue
n00075,OK,UDpc5-qMfLfHodPU6scXWw,2026-04,40.74897768936772,-73.97575672260815,4,2026,True,3rd Avenue,avenue
n00076,OK,BMJRkY3x_O_t3uHSz84oMg,2026-04,40.74913774286654,-73.97563951403377,4,2026,True,3rd Avenue,avenue
n00077,OK,Pvy2Rb4DDeVabaBhDXOH4A,2026-04,40.74931253945964,-73.9755125305245,4,2026,True,3rd Avenue,avenue
n00078,OK,4994o0_LX4D4dFeFhrnMGQ,2026-04,40.7494016203147,-73.97544868002771,4,2026,True,3rd Avenue,avenue
n00079,OK,IUEioSnyRBDJt51SrKPrcw,2026-04,40.74956621079019,-73.97533317514262,4,2026,True,3rd Avenue,avenue
n00080,OK,S1JbtInUw6Ie6xc3HaUBtg,2026-04,40.74973426843121,-73.97521130306524,4,2026,True,3rd Avenue,avenue
n00081,OK,L7zD7sFzsKBVLOMftsrb3A,2026-04,40.74989714286517,-73.97509274899093,4,2026,True,3rd Avenue,avenue
n00082,OK,H8mRERjQ10MHST-zLvDnFQ,2026-04,40.75006256371751,-73.97497249096348,4,2026,True,3rd Avenue,avenue
n00083,OK,CZd6lMZ6Y6kEKDlkpnpJGQ,2026-04,40.75021829748064,-73.97485886902957,4,2026,True,3rd Avenue,avenue
n00084,OK,XbLWF_ojkFkLGwTys_HXiQ,2026-04,40.75037794418946,-73.97474201862029,4,2026,True,3rd Avenue,avenue
n00085,OK,ZqzZJ_qL3CokTwEFxA7eWw,2026-04,40.75053568330676,-73.97462660298906,4,2026,True,3rd Avenue,avenue
n00086,OK,iA_UmGNq1kkbnTjXULfuOg,2026-04,40.75069900540286,-73.97450751048582,4,2026,True,3rd Avenue,avenue
n00087,OK,pzF8Hvka2r3C-wZ38iPRoA,2026-04,40.75086035829473,-73.97439048050684,4,2026,True,3rd Avenue,avenue
n00088,OK,T5kOZNZTJtZr376ZA-6w7Q,2026-04,40.75348435084804,-73.98087760041106,4,2026,True,5th Avenue,avenue
n00089,OK,fHBAB2dKfOCHa364LqOyXQ,2026-04,40.75331546382984,-73.98101166470944,4,2026,True,5th Avenue,avenue
n00090,OK,F-HmrqCl4N11DdPGXTKBog,2026-04,40.75315361966491,-73.98113003578482,4,2026,True,5th Avenue,avenue
n00091,OK,83fyBM-HufZuicF5cNN2JQ,2026-04,40.75299380701505,-73.9812467926377,4,2026,True,5th Avenue,avenue
n00092,OK,cUzbYQGR6K01vAsMjTOsDw,2026-04,40.75283197515844,-73.98136579129269,4,2026,True,5th Avenue,avenue
n00093,OK,JHLRuTI27t_Q4BojM475jg,2026-04,40.75267928708316,-73.98148389312533,4,2026,True,5th Avenue,avenue
n00094,OK,GvFJpOIDSRBsYchdriUsFA,2026-04,40.75251855704854,-73.98160163618617,4,2026,True,5th Avenue,avenue
n00095,OK,FYTn43E_SUI7qgoIH6o7wg,2026-04,40.75235874159525,-73.98171839275258,4,2026,True,5th Avenue,avenue
n00096,OK,Njca__Hd5bBovYXT2-Dtng,2026-04,40.75221617871244,-73.9818504836212,4,2026,True,5th Avenue,avenue
n00097,OK,__nJWlyP3KD7ATc1-GoGcg,2026-04,40.75206199846946,-73.98193791642728,4,2026,True,5th Avenue,avenue
n00098,OK,Kt83dQIFS7cWun7zkTBRKw,2026-04,40.7518947878826,-73.98205834944785,4,2026,True,5th Avenue,avenue
n00099,OK,8Qrzo6vqsXGugHIhi8qYAw,2026-04,40.75173606122304,-73.9821742986659,4,2026,True,5th Avenue,avenue
n00100,OK,ojROBq-eMULjlY8XJBLY9w,2026-04,40.75156711418561,-73.98221985332792,4,2026,True,5th Avenue,avenue
n00101,OK,qsamFj8f1GOwj1Z7gR112Q,2026-04,40.75144930512022,-73.9823824331656,4,2026,True,5th Avenue,avenue
n00102,OK,W_dJx_kZmNiXVhpSfY6pOg,2026-04,40.75128980896253,-73.98249775446735,4,2026,True,5th Avenue,avenue
n00103,OK,buIH5t3su8M6-khgID_58g,2026-04,40.75112476822285,-73.98261809746272,4,2026,True,5th Avenue,avenue
n00104,OK,krLS7sqS7aERWnfuHKSy3w,2026-04,40.75098434306424,-73.98274722846183,4,2026,True,5th Avenue,avenue
n00105,OK,MDzPPHpobNm0LUSVjmQscw,2026-04,40.7508184200701,-73.9828464978584,4,2026,True,5th Avenue,avenue
n00106,OK,X0tVCANR-HKAJkpNr5hrUw,2026-04,40.75066015573445,-73.98296361236511,4,2026,True,5th Avenue,avenue
n00107,OK,H75GyzXe0eMOjUa8BEKAqw,2026-04,40.75051014353656,-73.98307301482602,4,2026,True,5th Avenue,avenue
n00108,OK,KQJp3-Uv0lYFZk7ZGM6t-A,2026-04,40.75033810387448,-73.9831472649853,4,2026,True,5th Avenue,avenue
n00109,OK,lyOyI4bEdE9ZY9b25QsoVA,2026-04,40.75020087066348,-73.98329890380846,4,2026,True,5th Avenue,avenue
n00110,OK,M6aa61yUD6GFLH7H47GcZw,2026-04,40.75004475737464,-73.98341207238498,4,2026,True,5th Avenue,avenue
n00111,OK,_DZrDHy5C0vaQCFBHYXeOA,2026-04,40.7498861586967,-73.98352685502526,4,2026,True,5th Avenue,avenue
n00112,OK,Er8REQOaqweXpOH9cmksFA,2026-04,40.74972176261149,-73.98364594194204,4,2026,True,5th Avenue,avenue
n00113,OK,TgusxgCC_a3CjYd3jep9zA,2026-04,40.74956071597662,-73.98376260759241,4,2026,True,5th Avenue,avenue
n00114,OK,Xy2ibQfbf2bqxbiP81HJ1Q,2026-04,40.74939959225824,-73.98387873512945,4,2026,True,5th Avenue,avenue
n00115,OK,3SXot3XKg83hbVksFYrklQ,2026-04,40.74923795187317,-73.98399441422782,4,2026,True,5th Avenue,avenue
n00116,OK,G0p-xg7QkfhXm9RK_n860w,2026-04,40.74907958661272,-73.98410821011011,4,2026,True,5th Avenue,avenue
n00117,OK,Rksq-2pAtWdgJBVuJmv7fA,2026-04,40.74891872512656,-73.98422460645895,4,2026,True,5th Avenue,avenue
n00118,OK,aQ0_K9Mfw-WJ7lPL-EstIw,2026-04,40.74876294511306,-73.98433750546955,4,2026,True,5th Avenue,avenue
n00119,OK,7rQ3WrFgMdTEkbr5TCjAVw,2026-04,40.74860040122344,-73.98445533645511,4,2026,True,5th Avenue,avenue
n00120,OK,w4nU8TkIWNQjsnulYysjNw,2026-04,40.7484126481512,-73.98459155041913,4,2026,True,5th Avenue,avenue
n00121,OK,w4nU8TkIWNQjsnulYysjNw,2026-04,40.7484126481512,-73.98459155041913,4,2026,True,East 34th Street,mid_block
n00122,OK,1uSXgPJzT8f26L9nvduV7A,2026-04,40.74836502903342,-73.98435113584601,4,2026,True,East 34th Street,mid_block
n00123,OK,azpWeWRaZR4T7foiPNdKOg,2026-04,40.74827726372984,-73.98414390021533,4,2026,True,East 34th Street,mid_block
n00124,OK,rVM_Uqkan3M3bU8HCv4-1Q,2026-04,40.74818730187054,-73.9839312839378,4,2026,True,East 34th Street,mid_block
n00125,OK,DUPd1fmPOjG21mF_5K1ugQ,2026-04,40.74809709865261,-73.98371750166527,4,2026,True,East 34th Street,mid_block
n00126,OK,PosHhzjH-yQZrobVT-TipQ,2026-04,40.74800891382644,-73.9835083821987,4,2026,True,East 34th Street,mid_block
n00127,OK,OBsRh_RPUPkobZ6_62KTlA,2026-04,40.74791708632299,-73.98329325434528,4,2026,True,East 34th Street,mid_block
n00128,OK,NL8x7szoOAwMZu6hTDEE8w,2026-04,40.74782671330578,-73.98308359637221,4,2026,True,East 34th Street,mid_block
n00129,OK,sc4HSCw5im2V-q6dWieFlg,2026-04,40.74778508391786,-73.98295231341886,4,2026,True,East 34th Street,mid_block
n00130,OK,lZn3WYScbMGIFhfaNoqXaw,2026-04,40.74766511840564,-73.98271422832586,4,2026,True,East 34th Street,mid_block
n00131,OK,AqF39qP31-4seTS9SSM7Tg,2026-04,40.74757303162732,-73.98250259688442,4,2026,True,East 34th Street,mid_block
n00132,OK,9hu2fu1FkPnnJkX_RNMpuQ,2026-04,40.74748459935682,-73.98229706307494,4,2026,True,East 34th Street,mid_block
n00133,OK,NBjXUrfLOLoYc4zH8oGBJQ,2026-04,40.74739157452633,-73.98208148549232,4,2026,True,East 34th Street,mid_block
n00134,OK,8D4WxpdrDH1Ba_xUZNAAnw,2026-04,40.74730059860294,-73.98187344034133,4,2026,True,East 34th Street,mid_block
n00135,OK,W2VbiE6Ye8j2sr3rUbYShQ,2026-04,40.74720128788951,-73.98164970187801,4,2026,True,East 34th Street,mid_block
n00136,OK,oNcoVLSc8N-OjTG0fvVk4A,2026-04,40.74710901115647,-73.98145214822073,4,2026,True,East 34th Street,mid_block
n00137,OK,8qkpS_wAtFPlMtItoWI0iw,2026-04,40.74703790529627,-73.98128158652486,4,2026,True,East 34th Street,mid_block
n00138,OK,zIqgUTpCA-8ciHgJcIn98Q,2026-04,40.74696773715407,-73.98108842656663,4,2026,True,East 34th Street,mid_block
n00139,OK,Sie_635ejfTBw0n6UqWGXw,2026-04,40.74687692990614,-73.98087096445006,4,2026,True,East 34th Street,mid_block
n00140,OK,LREGqAyylZCVv_MVmG3iEA,2026-04,40.74678974808803,-73.98066417344214,4,2026,True,East 34th Street,mid_block
n00141,OK,ddMtPMixejzLPR21UZJdLw,2026-04,40.7467005085611,-73.98045245006779,4,2026,True,East 34th Street,mid_block
n00142,OK,Zvnd4e7bMCj22cl8ytNy5w,2026-04,40.74661369101244,-73.98024610698681,4,2026,True,East 34th Street,mid_block
n00143,OK,qC0G3TBqQ9ZcM3Q3LUEWPQ,2026-04,40.74652807050153,-73.98004182622171,4,2026,True,East 34th Street,mid_block
n00144,OK,PxedSVsTfAH2qmGv2lEy-g,2026-04,40.74643642682453,-73.97982857767607,4,2026,True,East 34th Street,mid_block
n00145,OK,lweXJwU9ljQsg785GEvnmQ,2026-04,40.74632261440679,-73.97953937353043,4,2026,True,East 34th Street,mid_block
n00146,OK,FFfUbH0lbp8qaPRUW1-Ylw,2026-04,40.74623672796426,-73.97933482298674,4,2026,True,East 34th Street,mid_block
n00147,OK,p29lMy99J9TIxzs5UGglPg,2026-04,40.74614790051613,-73.97912336717621,4,2026,True,East 34th Street,mid_block
n00148,OK,U3-BuSSgeZSFeLnvSdZlYw,2026-04,40.7460982233552,-73.97900499486522,4,2026,True,East 34th Street,mid_block
n00149,OK,HxB0KBC6r_Iyz70nGvkaCA,2026-04,40.74600675713835,-73.97878717168737,4,2026,True,East 34th Street,mid_block
n00150,OK,VL4DX6A6OTkeomlXswYkaw,2026-04,40.74591062050337,-73.97855822841068,4,2026,True,East 34th Street,mid_block
n00151,OK,ZSjP5G18RlgihnIoAeMJSg,2026-04,40.74582378495286,-73.97835125556244,4,2026,True,East 34th Street,mid_block
